Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"Make your wash experience 10x better by bringing your furry friends for the ride. 🐶

We have a new blog on the website, and this one is all about dogs - check it out!",0.3352272727272727,N,N,,,16:00:28,Thursday,2023-07-13,N,1098x1098,77,1,7800.0
"Whatever the elements, Quick Quack is here to make sure you're never driving dirty. Want to get unlimited shine? ✨ Sign up for a membership at any of our locations today! #DontDriveDirty",0.027777777777777752,Y,N,DontDriveDirty,,07:00:36,Friday,2021-05-14,N,1080x1080,44,0,4400.0
CYBER MONDAY 🌐 Our special offer is available online ONLY! Get 80% off the first month of ANY new Unlimited Membership. Click the link in bio to redeem our special offer. This offer is valid today only!,0.21437847866419293,N,N,,,06:00:55,Monday,2020-11-30,N,1080x1079,53,2,5500.0
Another beautiful day! #quickquack #dontdrivedirty,1.0,Y,N,"quickquack, dontdrivedirty",,13:57:34,Sunday,2014-07-20,N,640x640,7,0,700.0
"#Repost @quickquackama with @get_repost
・・・
WE ❤ AMARILLO!! Thank you to the @amarillochamber for helping us celebrate the grand opening of our newest location on S. Georgia with a ribbon cutting! 
Located at 4175 S. Georgia! 
#QuickQuackAMA #DontDriveDirty",-0.21875,Y,Y,"Repost, QuickQuackAMA, DontDriveDirty","quickquackama, get_repost, amarillochamber",13:49:15,Tuesday,2019-03-19,Y,480x480,41,2,4300.0
"There’s no reason why we can’t. 🚘

#QuickQuackCarwash #Quackals #QuickQuack #CarWashNearMe #CarWash",0.0,Y,N,"QuickQuackCarwash, Quackals, QuickQuack, CarWashNearMe, CarWash",,13:58:20,Thursday,2024-11-14,Y,1080x1920,280,7,28700.0
Safety 1st!,0.0,N,N,,,15:56:26,Thursday,2016-09-29,N,495x495,8,0,800.0
"Last week, our CEO Jason Johnson, worked at one of our car washes for a couple shifts. He enjoyed his time and truly appreciates all the work our team members do! 
#dontdrivedirty #behindthequack",0.3125,Y,N,"dontdrivedirty, behindthequack",,09:29:21,Tuesday,2017-08-29,N,420x420,59,3,6200.0
"Throw back to the ground breaking ceremony of our Spanish Fork, UT location. We officially had our Grand Opening yesterday!

#tbt",0.20833333333333334,Y,N,tbt,,15:50:25,Thursday,2016-08-18,N,1080x1080,19,2,2100.0
The more you know. 😜,0.5,N,N,,,07:40:56,Wednesday,2024-05-22,N,1080x1080,51,1,5200.0
"Black Friday is almost here!
Give the gift of a clean car with our 25% OFF any 60 day or more Best/Protect Unlimited car wash new or gift membership. Only in stores. Not available online.
˙
For more information, click the link in our bio.
˙
#BlackFriday #DontDriveDirty",0.15638528138528138,Y,N,"BlackFriday, DontDriveDirty",,14:31:56,Wednesday,2018-11-21,N,1080x1037,18,2,2000.0
Happy Thanksgiving!!! #DontDriveDirty,1.0,Y,N,DontDriveDirty,,12:56:48,Thursday,2016-11-24,N,1080x771,1,0,100.0
